id,amount,currency,merchant_name,issued_at,sender_account_id,recipient_account_id,credit_card_id
74,1352.16,EUR,Blanc SCOP,2022-05-23T04:14:40+02:00,34,297,34
75,944.35,EUR,Noel SEM,2004-04-19T21:43:23+02:00,496,406,496
76,3501.14,EUR,Faure et Gautier,2021-06-14T03:26:20+02:00,569,856,569
77,4630,EUR,Faure et Gaillard,2010-04-09T20:40:01+02:00,96,461,96
78,2095.95,EUR,Aubry et Huet,2014-04-28T04:20:34+02:00,229,280,990
79,2578.39,EUR,Lecomte SARL,2012-03-05T05:43:17+01:00,305,271,305
80,3278.68,EUR,Berger SARL,2020-07-04T11:21:17+02:00,59,721,59
81,8698.22,EUR,Nicolas et Vidal,2021-09-06T15:55:02+02:00,876,895,876
82,9161.32,EUR,Da silva SARL,2017-11-04T04:43:31+01:00,396,510,396
83,2843.55,EUR,Durand SARL,2007-10-11T18:01:10+02:00,243,955,243
84,2445.96,EUR,Roy SCOP,2011-04-07T03:51:19+02:00,721,755,721
85,747.78,EUR,Lefevre EURL,2006-03-30T12:02:52+02:00,657,42,657
86,4173.82,EUR,Durand et Mercier,2013-07-28T04:20:35+02:00,515,455,515
87,1896.5,EUR,Bonnet SAS,2006-04-25T21:22:51+02:00,465,454,465
88,7365.35,EUR,Faure EURL,2012-05-20T15:41:41+02:00,612,451,612
89,4935.36,EUR,Collet et Riviere,2021-01-23T12:47:48+01:00,492,672,492
90,7375.55,EUR,Gerard EI,2022-01-28T01:59:43+01:00,11,348,11
91,8703.16,EUR,Lemoine SARL,2017-06-11T07:06:35+02:00,408,724,408
92,2586.54,EUR,Julien SAS,2017-11-05T16:47:37+01:00,482,30,482
93,1732.52,EUR,Noel GIE,2017-09-27T06:22:48+02:00,398,709,398
94,7339.09,EUR,Marie et Lucas,2008-01-25T13:46:41+01:00,129,938,129
95,9572.16,EUR,Breton et Olivier,2009-10-01T19:39:15+02:00,736,440,736
96,9390.23,EUR,Jean et Lucas,2008-07-30T09:54:11+02:00,884,563,884
97,3442.78,EUR,Bonnet EI,2020-03-26T05:32:43+01:00,40,852,40
98,5444.81,EUR,Durand SAS,2021-06-27T20:12:19+02:00,900,610,900
99,4529.47,EUR,Fleury et Dumont,2006-03-09T00:00:17+01:00,667,659,667
100,6881.58,EUR,Barre et Le gall,2023-12-27T04:21:28+01:00,550,521,550
101,7036.23,EUR,Dumas GIE,2019-03-05T06:27:36+01:00,505,842,505
102,6640.6,EUR,Giraud EI,2006-12-21T11:50:35+01:00,95,272,95
103,717.17,EUR,Dumont EI,2008-01-09T05:30:35+01:00,733,145,733
104,2465.88,EUR,Nicolas et Gonzalez,2023-10-01T20:04:09+02:00,563,347,563
105,2913.83,EUR,Bonnet GIE,2006-04-01T02:33:43+02:00,205,495,205
106,151852.14,EUR,Joly EI,2010-01-28T03:04:09+01:00,395,849,395
107,5402.88,EUR,Dumas et Blanc,2008-10-22T07:20:24+02:00,279,313,279
108,8717.41,EUR,Thomas et Gautier,2002-06-14T02:05:58+02:00,773,113,773
109,6821.62,EUR,Roux et Lacroix,2023-03-07T19:13:00+01:00,151,962,151
110,1860.59,EUR,Collet et Moreau,2001-07-19T20:17:53+02:00,419,637,419
111,1710.42,EUR,Gaillard SAS,2014-04-11T04:44:08+02:00,147,403,147
112,4278.46,EUR,Dubois SARL,2001-02-18T10:50:16+01:00,274,65,125
113,7058.15,EUR,Leroy et Bertrand,2008-11-26T11:37:07+01:00,728,211,728
114,3210.37,EUR,Dupont EURL,2015-10-15T06:51:53+02:00,413,288,413
115,6260.8,EUR,Guerin et Mercier,2002-06-06T10:50:06+02:00,430,367,430
116,9026.87,EUR,Rousseau et Charles,2000-07-31T07:41:07+02:00,904,711,904
117,5860.56,NAD,Paris et Rey,2021-06-15T23:25:31+02:00,107,697,107
118,1305.93,EUR,Clement et Collet,2001-04-26T07:28:56+02:00,67,272,67
119,7061,EUR,Benoit SARL,2002-01-28T22:19:28+01:00,493,410,493
120,4743.92,EUR,Gauthier et Denis,2023-04-17T01:07:24+02:00,990,499,990
121,5679.24,EUR,Charpentier SEM,2023-07-15T18:02:35+02:00,521,820,521
122,99192.37,EUR,Gautier SEM,2024-01-02T10:59:03+01:00,443,332,443
123,4554.83,EUR,Le roux SA,2012-07-21T11:44:33+02:00,64,62,64
124,7942.34,EUR,Louis et Guerin,2001-02-21T08:26:42+01:00,173,626,173
125,8445.8,EUR,Mathieu SA,2011-10-06T14:15:39+02:00,878,893,878
126,7310.06,EUR,Barre SCOP,2011-08-31T19:15:48+02:00,741,507,713
127,2988.27,EUR,Leroux EI,2004-01-29T03:09:13+01:00,575,331,575
128,576492.5,EUR,Rousseau EI,2011-01-08T00:38:12+01:00,277,407,277
129,846.22,EUR,Garcia EI,2017-03-16T13:28:54+01:00,570,544,570
130,4801.16,EUR,Clement et Fabre,2010-07-29T18:04:33+02:00,983,691,983
131,2676.56,EUR,Marchal et Maillard,2001-08-14T07:56:00+02:00,143,239,143
132,4042.73,EUR,Lucas SEM,2005-10-18T09:11:51+02:00,811,756,811
133,1690.76,EUR,Fournier et Chevalier,2017-01-03T08:53:25+01:00,696,589,696
134,994960.66,EUR,Vidal et Moreau,2013-07-26T08:11:23+02:00,803,926,803
135,5701.05,EUR,Clement GIE,1999-08-13T04:16:11+02:00,509,580,509
136,3753.87,EUR,Bernard SEM,2000-07-22T08:55:12+02:00,383,669,383
137,6338.41,EUR,Lemoine SARL,2008-01-21T11:38:21+01:00,737,6,737
138,4972.29,INR,Leroux SA,2004-09-04T05:07:48+02:00,745,770,745
139,1234.48,EUR,Morel et Giraud,2014-06-09T03:29:32+02:00,139,753,235
140,730954.72,EUR,Barbier et Nicolas,2011-01-15T01:43:55+01:00,912,359,912
141,6002.91,EUR,Leclerc SARL,2012-09-09T03:20:53+02:00,477,385,477
142,3995.42,EUR,Deschamps et Leroux,2002-05-11T22:25:56+02:00,20,529,285
143,7985.83,EUR,Roy EURL,2010-11-26T23:33:25+01:00,494,271,494
144,4354.42,EUR,Marchand et Vincent,2007-05-11T00:16:34+02:00,648,824,648
145,1896.36,EUR,Prevost et Guerin,2012-05-26T00:27:27+02:00,223,559,223
146,987210.05,GHS,Fournier EI,2020-11-19T09:53:48+01:00,837,448,837
147,124134.07,EUR,Riviere EURL,2006-11-23T11:17:14+01:00,453,17,453
148,8802.48,EUR,Lemaire et Francois,2013-03-22T16:58:06+01:00,113,631,113
149,6822.59,EUR,Caron EURL,2013-05-26T03:37:12+02:00,558,307,558
150,1985.46,EUR,Fernandez et Barre,2012-07-15T13:38:27+02:00,365,180,365
151,374819.25,EUR,Muller SARL,2007-02-28T23:12:14+01:00,406,143,683
152,9965.25,EUR,Lucas et Leclercq,2018-03-27T21:06:06+02:00,584,851,584
153,6721.51,EUR,Roussel et Dupont,2013-11-02T11:45:32+01:00,724,166,724
154,270.22,EUR,Lefebvre et Cousin,2017-03-07T06:38:00+01:00,102,958,102
155,3647.49,EUR,Caron et Dumas,2011-01-26T22:30:26+01:00,258,367,258
156,3434.7,EUR,Nguyen SA,2001-08-01T03:47:12+02:00,75,807,75
157,2822.52,EUR,Dupuis et Vidal,2021-01-23T15:20:56+01:00,642,446,642
158,9778.06,EUR,Picard et Blanc,1999-09-22T23:57:25+02:00,836,865,836
159,330967.18,EUR,Andre SAS,2001-08-05T23:32:00+02:00,483,638,483
160,6780.79,EUR,Robin et Lucas,2014-03-30T13:41:20+02:00,6,165,6
161,7369.46,EUR,Aubert et David,2003-12-08T00:55:38+01:00,891,4,891
162,3339.9,EUR,Fleury SA,2023-11-16T23:39:34+01:00,621,705,621
163,8983.07,EUR,Lopez SARL,2011-06-13T09:28:43+02:00,299,501,299
164,2337.36,EUR,Dumas et Lecomte,2012-10-18T10:53:12+02:00,852,624,852
165,5418.72,EUR,Pons et Moreau,2000-01-04T15:00:18+01:00,677,686,677
166,1382.66,EUR,Arnaud SARL,2022-07-12T07:51:14+02:00,776,426,776
167,3981.04,EUR,Guillaume SAS,2008-07-21T10:48:57+02:00,937,498,937
168,2725,EUR,Gautier et Bourgeois,2023-05-02T02:17:27+02:00,515,11,515
169,3103.36,EUR,Menard SARL,2013-05-17T19:20:07+02:00,697,50,697
170,1631.22,EUR,Rodriguez SARL,2000-04-19T11:35:08+02:00,830,735,830
171,5111.19,EUR,Garcia et Charpentier,1999-12-22T17:10:39+01:00,245,607,245
172,577.93,EUR,Robert EURL,2007-10-29T12:47:43+01:00,431,868,431
173,1079.75,EUR,Olivier et Aubert,2000-05-01T02:25:25+02:00,859,838,859
174,8665.97,EUR,Bonnet SA,2023-01-05T14:15:13+01:00,433,123,433
175,1461.54,EUR,Muller SCOP,2018-12-13T19:21:33+01:00,811,284,811
176,1232.17,EUR,Simon EI,2003-01-07T03:50:58+01:00,630,121,630
177,8262.84,EUR,Jean EI,2014-12-05T08:09:35+01:00,534,234,534
178,3384.37,EUR,Paul et Gauthier,2016-02-14T02:57:44+01:00,652,141,652
179,3363.49,EUR,Baron EI,1999-11-01T21:30:01+01:00,705,776,705
180,5331.61,EUR,Meyer et Caron,2007-06-30T11:57:47+02:00,485,903,485
181,7655.55,EUR,Arnaud et Barre,2020-07-09T14:23:53+02:00,943,210,943
182,3696.89,EUR,Lucas SEM,2013-04-19T02:46:24+02:00,470,655,470
183,305795.1,LTC,Lefebvre GIE,2015-07-27T10:38:27+02:00,276,744,276
184,4829.31,EUR,Collet et Roy,2006-05-20T01:46:43+02:00,279,38,279
185,1651.89,EUR,Bertrand SEM,2013-02-15T00:14:03+01:00,697,618,697
186,739.79,EUR,Cousin SCOP,2022-01-11T19:41:44+01:00,622,973,622
187,5477.12,EUR,Martinez GIE,2014-04-24T21:44:39+02:00,854,324,854
188,8236.68,EUR,Paris et Schmitt,2017-08-29T10:39:40+02:00,251,487,251
189,5017.26,EUR,Lemaire et Marchal,2012-02-19T05:58:53+01:00,573,968,573
190,6323.24,EUR,Bonnet SA,2022-08-12T04:21:44+02:00,43,679,43
191,2574.54,EUR,Joly et Blanc,2010-02-13T03:19:59+01:00,392,139,392
192,528.03,EUR,Barre SEM,2006-01-09T07:30:58+01:00,624,592,798
193,5071.71,EUR,Marie SAS,2002-05-11T09:29:49+02:00,731,650,731
194,1411.03,EUR,Le gall SAS,2006-02-07T05:11:08+01:00,24,409,24
195,9293.1,EUR,Collet GIE,2017-04-08T20:17:24+02:00,950,58,950
196,7736.59,EUR,Mathieu et Dufour,2021-06-26T00:07:32+02:00,378,587,378
197,9682.65,EUR,Dubois SARL,2014-06-20T06:11:44+02:00,948,383,948
198,2113.82,EUR,Dufour et Girard,2023-11-14T19:39:07+01:00,141,457,141
199,1052.72,EUR,Bertrand GIE,2010-04-17T11:22:37+02:00,962,259,962
200,2822.33,EUR,Denis et Marie,2015-06-26T04:09:16+02:00,267,39,267
201,7853.92,EUR,Thomas EURL,2004-03-01T12:21:41+01:00,982,860,982
202,8278.47,EUR,Marchand SA,2015-01-31T13:48:46+01:00,649,518,649
203,147.69,EUR,Marchand et Aubert,2006-03-08T20:15:15+01:00,984,608,984
204,9285.89,EUR,Faure EURL,2021-08-07T15:49:41+02:00,175,979,175
205,8679.01,EUR,Carre EI,2023-07-30T11:59:38+02:00,672,830,672
206,4571.88,EUR,Deschamps et Petit,2005-06-10T07:05:13+02:00,726,352,726
207,138.42,EUR,Picard et Baron,2007-09-24T14:41:54+02:00,514,161,514
208,7695.22,EUR,Dupont EI,1999-04-18T12:49:45+02:00,208,561,208
209,1373.57,XOF,Berger EURL,2020-10-15T17:22:38+02:00,237,234,237
210,834243.54,EUR,Clement SARL,2000-05-18T06:35:14+02:00,74,408,74
211,187.94,EUR,Chevalier SARL,2012-05-23T09:26:23+02:00,187,746,187
212,24.38,EUR,Baron EURL,2017-10-12T17:40:39+02:00,857,767,857
213,9045.31,EUR,Bonnet et Chevalier,2016-04-04T08:19:53+02:00,995,656,995
214,2954.48,EUR,Leclerc et Adam,2014-07-17T21:44:12+02:00,598,802,598
215,3335.06,EUR,Paul et Morel,2017-10-13T14:27:33+02:00,523,752,523
216,7388.26,EUR,Jacquet et Julien,2004-02-04T00:47:13+01:00,141,237,141
217,4086.67,EUR,Charles GIE,2004-03-02T07:36:23+01:00,176,983,176
218,642318.5,EUR,Gauthier SEM,2009-04-21T09:01:57+02:00,5,359,5
219,3028.34,EUR,Brun EURL,2020-07-04T17:43:08+02:00,19,843,19
220,9639.92,EUR,Fernandez SCOP,2017-07-07T08:42:38+02:00,380,428,380
221,1655.27,EUR,Remy et Perrin,2003-01-22T17:07:28+01:00,325,253,325
222,9813.91,EUR,Charpentier SAS,2005-11-06T00:11:12+01:00,935,190,935
223,4203.53,EUR,Lambert SA,2001-07-31T12:51:58+02:00,592,721,592
224,9593.16,EUR,Lacroix et Moreau,2023-06-19T07:26:04+02:00,853,643,853
225,9216.21,EUR,Moreau SA,2010-05-10T19:54:03+02:00,717,413,717
226,3929.05,EUR,Joly et Moulin,2020-09-20T03:00:24+02:00,328,420,328
227,9108.17,EUR,Marchand et Garnier,2013-11-03T06:50:58+01:00,916,113,916
228,4082.17,GMD,Julien EURL,2020-10-06T18:36:22+02:00,799,117,799
229,5095.71,EUR,Marty SEM,2008-09-12T18:47:45+02:00,354,535,354
230,1820.5,EUR,Richard SARL,2005-05-29T18:36:21+02:00,754,150,754
231,4609.97,EUR,Dupuis et Adam,2010-05-25T05:43:13+02:00,552,30,552
232,8933.68,EUR,Remy SCOP,2016-08-09T13:59:50+02:00,496,541,496
233,2468.15,EUR,Dupuis et Vincent,2009-01-03T16:54:59+01:00,724,979,724
234,3146.34,EUR,Brun EURL,2009-10-19T13:56:51+02:00,880,3,880
235,7831.42,EUR,Francois et Guillot,2019-12-07T22:05:48+01:00,865,447,865
236,724.61,EUR,Leroux et Nguyen,2023-03-26T06:56:41+02:00,503,378,503
237,6324.76,EUR,Fleury SAS,2005-07-02T21:08:02+02:00,462,927,462
238,2387.97,EUR,Lecomte SCOP,2009-03-02T20:22:22+01:00,584,680,584
239,4314.79,EUR,Marty et Guerin,2011-10-23T12:15:37+02:00,673,156,673
240,1256.57,EUR,Lopez GIE,2018-12-18T14:40:51+01:00,72,724,72
241,3305.74,EUR,Paris SEM,2021-10-09T01:34:34+02:00,750,614,750
242,8552.52,EUR,Roche SARL,2019-04-03T16:18:55+02:00,948,688,948
243,116847.97,EUR,Petit et Guerin,2004-06-02T17:05:46+02:00,744,993,744
244,5850.54,EUR,Girard GIE,2019-01-08T23:44:56+01:00,392,343,587
245,4674.76,RON,Huet SEM,2006-11-28T08:50:02+01:00,75,172,75
246,877639.65,GTQ,Laine SA,2007-06-19T15:02:36+02:00,814,916,814
247,4048.9,EUR,Hubert et Mathieu,2004-10-15T14:05:32+02:00,124,265,124
248,6721.31,EUR,Joly et Laurent,2006-03-30T21:01:48+02:00,154,430,154
249,8475.87,EUR,Meyer SAS,2012-07-03T19:20:45+02:00,960,55,960
250,4909.66,EUR,Bertrand SARL,2007-09-15T10:35:02+02:00,426,967,426
251,1012.32,MAD,Lefevre et Fleury,2008-11-01T03:52:49+01:00,343,973,343
252,1777.1,EUR,Blanchard et Dubois,2010-10-07T12:53:31+02:00,23,208,23
253,8118.08,EUR,Faure EURL,2021-08-25T22:25:58+02:00,770,769,770
254,4853.42,EUR,Lecomte et Prevost,2010-12-17T22:22:10+01:00,525,538,525
255,4392.26,EUR,Morin EURL,2014-12-07T00:32:33+01:00,888,394,888
256,3120.61,EUR,Perrin et Leclerc,2006-03-22T18:35:58+01:00,502,448,502
257,5900.02,EUR,Louis et Carre,2006-01-23T16:42:52+01:00,620,668,620
258,391.25,EUR,Henry SEM,2010-02-19T05:45:04+01:00,548,90,548
259,8837.12,QAR,Collet EURL,2011-01-09T02:06:30+01:00,678,590,678
260,1930.58,EUR,Michel et Lopez,2013-01-22T18:15:43+01:00,327,660,327
261,2391.51,EUR,Brunet EI,2002-01-18T09:43:51+01:00,404,85,404
262,6754.86,ETH,Paris et Jean,2002-02-17T13:57:03+01:00,843,251,843
263,532.7,EUR,Lefebvre et Laine,2013-03-04T00:34:53+01:00,243,88,243
264,4260.88,EUR,Hubert SAS,2024-01-10T06:34:29+01:00,196,20,196
265,2089.47,ARS,Moreau EI,2017-10-05T19:41:26+02:00,195,7,195
266,4853.07,EUR,Royer et Gautier,1999-02-22T22:54:04+01:00,492,672,492
267,1038.88,EUR,Fleury et Martin,1999-11-13T00:16:19+01:00,912,873,912
268,8569.75,EUR,Joly SCOP,2001-03-13T13:24:43+01:00,262,826,262
269,139.09,EUR,Renault et Barre,2021-12-03T06:27:26+01:00,440,331,440
270,2333.08,EUR,Berger et Rey,2012-09-09T09:28:10+02:00,238,872,238
271,366.77,EUR,Blanc SAS,2015-01-31T15:36:26+01:00,269,721,269
272,6343.93,EUR,Richard SCOP,2000-07-02T01:57:46+02:00,785,603,843
273,7740.87,EUR,Francois et Da silva,2018-02-21T00:52:47+01:00,1000,854,1000
274,951.99,EUR,David SEM,2021-09-22T15:57:09+02:00,513,716,513
275,3568.66,DOP,Nguyen et Perrin,2019-12-07T11:04:18+01:00,988,24,988
276,6654.87,EUR,Poirier et Masson,2010-06-16T09:19:11+02:00,139,305,139
277,2962.05,EUR,Chevalier et Renault,2009-12-22T01:37:46+01:00,927,762,927
278,4713.26,EUR,Menard EI,2005-10-29T11:57:36+02:00,932,997,932
279,1956.23,SYP,Colin et Bonnet,2019-09-23T19:14:50+02:00,854,487,854
280,4516.42,GEL,Noel et Blanc,2000-12-08T10:45:51+01:00,491,153,491
281,2996.36,EUR,Marchand SA,2016-05-27T15:42:51+02:00,574,329,574
282,6624.91,EUR,Roux SARL,2000-11-17T19:27:39+01:00,681,713,681
283,351.1,TND,Bonnet et Aubry,2017-09-09T14:29:46+02:00,61,13,61
284,1172.62,BDT,Da silva et Joly,2019-03-16T14:50:48+01:00,363,837,363
285,5735.54,EUR,Jacquet SARL,2010-10-26T16:29:05+02:00,100,711,100
286,6380.29,EUR,Lecomte EURL,2008-11-05T00:27:42+01:00,299,650,299
287,5010.42,EUR,Blanchard GIE,2023-05-22T15:40:18+02:00,443,867,443
288,8378.96,RUB,Leroux et Fournier,2020-05-02T00:34:37+02:00,403,18,403
289,4056.49,EUR,Andre et Charles,2004-09-07T13:26:16+02:00,321,495,321
290,6166.26,EUR,Simon SA,2023-09-15T06:47:52+02:00,979,112,979
291,8212.84,EUR,Roger SCOP,2018-06-29T22:31:23+02:00,8,904,8
292,1761.04,EUR,Muller et Guillot,2005-06-10T08:19:28+02:00,505,937,505
293,6559.6,EUR,Bernard et Bonnet,2001-01-10T14:44:55+01:00,844,157,844
294,1493.44,EUR,Le gall et Roussel,2014-11-08T04:59:38+01:00,10,293,10
295,4335.38,EUR,Pons EURL,2006-04-14T19:52:03+02:00,618,53,618
296,4916.79,EUR,Faure SEM,2010-06-28T14:16:58+02:00,693,895,693
297,7384.8,EUR,Leroy EURL,2010-11-17T23:12:23+01:00,805,624,805
298,6112.21,EUR,Moreau et Roche,2013-01-12T21:16:41+01:00,226,218,226
299,3701.89,EUR,Bertrand et Giraud,2010-06-05T17:53:57+02:00,884,563,884
300,4492.79,EUR,Guillot SEM,2023-09-02T21:11:09+02:00,383,845,383
301,602.81,EUR,Leclercq et Durand,2000-06-02T07:19:51+02:00,381,136,381
302,544139.25,EUR,Gerard et Marie,2017-05-20T11:18:09+02:00,781,954,781
303,6983.36,EUR,Berger EI,2007-12-23T13:40:52+01:00,769,503,769
304,7905.75,EUR,Aubry et Adam,2016-02-09T19:33:17+01:00,631,761,631
305,8351.99,EUR,Le gall EI,2000-12-03T20:17:23+01:00,169,820,169
306,1107.98,EUR,Morel SARL,2018-10-10T07:05:02+02:00,831,258,831
307,5196.52,EUR,Sanchez SCOP,2012-08-08T07:20:07+02:00,13,18,13
308,8715.06,EUR,Morel et Fabre,2019-03-27T13:40:07+01:00,655,981,655
309,9138.34,EUR,Leclercq et Brunet,2007-04-07T17:06:16+02:00,815,424,815
310,8325.35,EUR,Roger SCOP,2019-06-20T06:02:25+02:00,4,997,4
311,8593.42,EUR,Morel SAS,2016-08-03T14:31:58+02:00,790,701,790
312,7164.91,EUR,Bernard SARL,2012-10-17T11:43:49+02:00,370,385,370
313,6696.82,EUR,Gautier et Dupuy,2007-09-30T19:24:53+02:00,922,688,922
314,7334.73,EUR,Brunet et Moulin,1999-05-10T20:06:24+02:00,465,753,465
315,4302.92,EUR,Clement et Fontaine,2004-03-29T12:36:51+02:00,734,744,734
316,22.82,EUR,Jacquet et Renard,2018-12-09T21:29:39+01:00,398,48,398
317,3171.66,EUR,Morel et Jacquet,2023-11-24T18:32:37+01:00,562,286,562
318,4656.87,EUR,Le roux et Durand,2008-06-10T21:56:41+02:00,304,512,304
319,5431.86,EUR,Brun SEM,2019-06-28T10:13:41+02:00,934,724,934
320,396.71,EUR,Maillard et Remy,2008-11-19T17:05:47+01:00,754,682,144
321,1594.7,EUR,Jean et Aubert,2010-03-01T09:54:46+01:00,201,217,729
322,7486.82,EUR,Charles et Marchand,2017-08-04T08:10:21+02:00,973,35,973
323,2009.12,EUR,David SEM,2010-06-11T22:29:00+02:00,250,478,250
324,1114,EUR,Lemaire SARL,2010-10-09T18:01:39+02:00,920,674,920
325,7841.16,EUR,Clement SAS,2002-08-18T02:21:53+02:00,621,441,621
326,2105.54,EUR,Robert SAS,2010-04-14T02:43:33+02:00,742,264,742
327,464.1,EUR,Andre SARL,2000-08-13T13:29:25+02:00,977,780,977
