name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales
Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,120000,20000,0,20000
FoxKids.com Micro Maniacs Racing,PS,2000,Racing,Codemasters,60000,40000,0,10000
Medabots: Infinity,GC,2003,Role-Playing,Ubisoft,40000,10000,0,0
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0,0,30000,0
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,130000,400000,0,160000
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2330000,970000,0,350000
ESPN College Hoops,PS2,2003,Sports,Sega,80000,60000,0,20000
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,80000,900000,20000,0
Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,310000,130000,20000,40000
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei,0,0,40000,0
Siren: Blood Curse,PS3,2008,Action,Sony Computer Entertainment,0,170000,90000,20000
Tokyo Twilight Ghost Hunters,PSV,2014,Role-Playing,Aksys Games,60000,10000,20000,20000
G-Force,DS,2009,Action,Disney Interactive Studios,270000,230000,0,60000
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,160000,0,30000
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,160000,10000,0,20000
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0,0,380000,0
Monsters vs. Aliens,PS2,2009,Action,Activision,110000,0,0,80000
Sonic Boom: Shattered Crystal,3DS,2014,Action,Sega,170000,90000,0,30000
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,10000,0,0
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005,Action,Konami Digital Entertainment,40000,20000,0,0
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,610000,470000,110000,100000
Group S Challenge,XB,2003,Racing,Capcom,20000,0,0,0
Armored Core 3,PS2,2002,Simulation,Metro 3D,220000,170000,230000,60000
Alone in the Dark: The New Nightmare,PS,,Adventure,Infogrames,90000,60000,0,10000
Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment,210000,140000,0,20000
Nendoroid Generation,PSP,2012,Role-Playing,Namco Bandai Games,0,0,60000,0
Sega Superstars Tennis,Wii,2008,Sports,Sega,280000,650000,0,130000
The Hidden,3DS,,Adventure,Unknown,80000,0,0,0
Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ,180000,40000,10000,30000
Formula 1 06,PS2,2006,Racing,Sony Computer Entertainment,0,0,40000,0
Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,890000,1080000,0,110000
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0,0,20000,0
Clash of the Titans,X360,2010,Action,Namco Bandai Games,80000,60000,0,20000
XIII,PS2,2003,Shooter,Ubisoft,280000,220000,0,70000
Dead Island,X360,2011,Action,Deep Silver,1480000,710000,0,200000
Ride,PS4,2015,Racing,Milestone S.r.l.,30000,130000,30000,30000
Far Cry 2,PS3,2008,Action,Ubisoft,430000,700000,10000,270000
Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,50000,10000,0,0
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995,Fighting,Atlus,0,0,100000,10000
Rock Band: Metal Track Pack,PS3,2009,Misc,MTV Games,110000,0,0,10000
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,2008,Adventure,System Soft,0,0,20000,0
Hot Potato!,GBA,2001,Action,BAM! Entertainment,30000,10000,0,0
NHL 2K10,PS3,2009,Sports,Take-Two Interactive,130000,10000,0,10000
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0,0,890000,0
Rollcage Stage II,PS,2000,Racing,Sony Computer Entertainment,50000,30000,0,10000
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,470000,320000,0,80000
Shrek: Forever After,Wii,2010,Platform,Activision,190000,90000,0,30000
Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,100000,20000,0,0
Digimon Racing,GBA,2004,Racing,Namco Bandai Games,90000,30000,0,0
The Lost Treasures of Alexandria,DS,2011,Puzzle,Unknown,0,40000,0,10000
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,120000,30000,0,0
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,390000,260000,530000,80000
Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,PS2,2007,Misc,Sega,0,0,20000,0
Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,30000,20000,30000,10000
LocoRoco,PSP,2006,Platform,Sony Computer Entertainment,140000,50000,160000,40000
ZhuZhu Puppies,DS,2011,Simulation,Activision,130000,40000,0,10000
Monopoly Party,GC,2002,Misc,Infogrames,100000,30000,0,0
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,100000,110000,60000,50000
International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Konami Digital Entertainment,10000,260000,220000,20000
Ms Saga: A New Dawn,PS2,2005,Role-Playing,Namco Bandai Games,20000,20000,0,10000
Memories Off: Yubikiri no Kioku,X360,2010,Adventure,5pb,0,0,20000,0
Danganronpa: Trigger Happy Havoc,PSP,,Misc,Unknown,0,0,240000,0
Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,Konami Digital Entertainment,0,0,10000,0
Rayman Raving Rabbids,X360,2007,Misc,Ubisoft,180000,10000,0,20000
The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,1070000,1190000,0,180000
Need for Speed: Most Wanted,WiiU,2013,Racing,Electronic Arts,140000,120000,0,20000
Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,0,0,60000,0
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,650000,190000,0,30000
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,370000,0,30000,30000
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0,0,120000,0
Root Double: Before Crime After Days,X360,2012,Action,Yeti,0,0,10000,0
Cars,PSP,2006,Racing,THQ,720000,290000,0,210000
Hot Wheels: Track Attack,Wii,2010,Racing,THQ,150000,40000,0,10000
Famista 64,N64,,Sports,Namco Bandai Games,0,0,170000,30000
"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005,Platform,Midway Games,80000,30000,0,0
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,660000,0,0,50000
Enkaku Sousa: Sana e no 23 Hiai,PSP,2009,Adventure,Sony Computer Entertainment,0,0,20000,0
King's Field: The Ancient City,PS2,2001,Role-Playing,Metro 3D,50000,40000,0,10000
Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games,160000,0,0,10000
Archer Maclean's 3D Pool,GBA,2003,Misc,Crave Entertainment,50000,20000,0,0
Heavy Fire: Afghanistan,PC,2011,Shooter,Mastiff,20000,0,0,0
Lost Planet 3,PC,2013,Shooter,Capcom,0,30000,0,10000
ZombiU,WiiU,2012,Action,Ubisoft,530000,360000,50000,80000
Sonic Mega Collection Plus,XB,2004,Misc,Sega,610000,260000,0,40000
Virtual Hydlide,SAT,1995,Role-Playing,Sega,0,0,110000,0
River Raid,2600,1981,Shooter,Activision,1490000,90000,0,20000
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,230000,0
Darksiders II,PS4,2015,Action,Nordic Games,90000,100000,0,40000
X-Men: The Official Game,GBA,2006,Action,Activision,50000,20000,0,0
Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,270000,180000,0,30000
Sega Rally Revo,PS3,2007,Racing,Sega,70000,430000,0,140000
Anno 2070,PC,2011,Strategy,Ubisoft,0,1130000,0,320000
DX Game of Life 2,PS,1997,Misc,Takara,0,0,310000,20000
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,80000,60000,0,20000
Petz Puppyz & Kittenz,DS,2011,Misc,Ubisoft,120000,0,0,10000
99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,40000,0
Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,140000,50000,0,0
MindJack,PS3,2011,Shooter,Square Enix,70000,80000,0,30000
Fate/hollow ataraxia,PSV,2014,Adventure,Type-Moon,0,0,100000,0
Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,470000,10000,0,40000
Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,290000,0,0,20000
Tony Hawk's Underground,PS2,2003,Sports,Activision,2290000,1170000,10000,420000
Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,370000,290000,0,100000
Driv3r,XB,2004,Racing,Atari,360000,380000,0,30000
RollerCoaster Tycoon: Gold Edition,PC,2002,Strategy,Infogrames,10000,0,0,0
Jerry Rice and Nitus' Dog Football,Wii,2011,Sports,Tommo,40000,0,0,0
Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,430000,20000,0,40000
SX Superstar,GC,2003,Racing,Acclaim Entertainment,30000,10000,0,0
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Fox Interactive,270000,180000,0,30000
NHL Hitz 20-02,GC,2001,Sports,Midway Games,160000,40000,0,10000
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,870000,1060000,730000,260000
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,100000,0,0,10000
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,310000,220000,0,60000
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,620000,240000,0,80000
Otometeki Koi Kakumei * Love Revo!! DS,DS,2008,Adventure,GungHo,0,0,20000,0
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,70000,20000,0,20000
Lost Dimension,PSV,2014,Role-Playing,Nippon Ichi Software,70000,30000,20000,30000
Escape Dead Island,X360,2014,Action,Deep Silver,30000,50000,0,10000
Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,2006,Shooter,Ubisoft,0,0,10000,0
Mario Pinball Land,GBA,2004,Misc,Nintendo,500000,180000,0,10000
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1400000,540000,20000,300000
X-COM: UFO Defense,PS,1995,Strategy,Microprose,50000,40000,0,10000
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,450000,640000,0,140000
Ford Racing 3,XB,2004,Racing,Take-Two Interactive,70000,20000,0,0
Story Hour: Adventures,Wii,2008,Adventure,Zoo Digital Publishing,30000,0,0,0
Army Men: Soldiers of Misfortune,Wii,2008,Shooter,Zoo Games,120000,0,0,10000
Terraria,XOne,2014,Action,505 Games,0,40000,0,0
Sprung - A Game Where Everyone Scores,DS,2004,Adventure,Ubisoft,60000,0,0,0
Medal of Honor: Underground,GBA,2002,Shooter,Zoo Digital Publishing,50000,20000,0,0
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,2006,Adventure,Sony Computer Entertainment,0,0,100000,0
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1150000,200000,0,120000
Burnout 2: Point of Impact,GC,2003,Racing,Acclaim Entertainment,120000,30000,0,0
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1850000,1040000,0,130000
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,40000,30000,270000,20000
Dynasty Warriors 7: Empires,PS3,2012,Action,Ubisoft Annecy,0,0,140000,0
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,280000,300000,0,80000
Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013,Action,Konami Digital Entertainment,40000,70000,30000,10000
Mario Bros.,2600,1982,Platform,Atari,1480000,90000,0,20000
Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,520000,10000,0,40000
NHL 2003,XB,2002,Sports,Electronic Arts,150000,40000,0,10000
Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,800000,530000,0,220000
Battle Fantasia,PS3,2008,Fighting,505 Games,0,0,10000,0
Space Chimps,DS,2008,Platform,Brash Entertainment,50000,0,0,0
WorldShift,PC,2009,Strategy,Playlogic Game Factory,20000,0,0,0
Dark Summit,GC,2002,Sports,THQ,40000,10000,0,0
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1440000,1010000,570000,300000
Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,260000,70000,0,10000
Tony Hawk: Shred,X360,2010,Sports,Activision,170000,70000,0,20000
The Testament of Sherlock Holmes,PS3,2012,Adventure,Focus Home Interactive,50000,150000,0,60000
In The Groove,PS2,2005,Misc,RedOctane,40000,30000,0,10000
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,Activision,180000,50000,0,10000
Pawly Pets: My Vet Practice,DS,2007,Strategy,Ubisoft,0,60000,0,10000
Def Jam Icon,X360,2007,Action,Electronic Arts,300000,10000,0,30000
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,Namco Bandai Games,0,0,50000,0
Deer Drive,Wii,2009,Sports,Big Ben Interactive,670000,40000,0,50000
Terraria,PC,2011,Action,Unknown,0,130000,0,20000
Crash: Mind Over Mutant,Wii,2008,Platform,Vivendi Games,360000,60000,0,30000
Power Rangers Super Megaforce,3DS,2014,Action,Namco Bandai Games,10000,10000,0,0
Mountain Bike Adrenaline,PS2,,Sports,Unknown,30000,20000,0,10000
MetropolisMania,PS2,2001,Strategy,Natsume,40000,30000,0,10000
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,800000,540000,0,90000
Second Sight,GC,2004,Adventure,Codemasters,40000,10000,0,0
Chibi Maruko-Chan DS: Maru-Chan no Machi,DS,2009,Puzzle,Namco Bandai Games,0,0,40000,0
SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ,240000,110000,0,40000
Dead to Rights: Retribution,X360,2010,Shooter,Namco Bandai Games,110000,80000,0,20000
Legend of the Dragon,Wii,2007,Fighting,Game Factory,60000,0,0,0
Skylanders: SuperChargers,WiiU,2015,Action,Activision,250000,180000,0,40000
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,0,0,170000,0
Strider (2014),PS3,2014,Platform,Capcom,0,0,10000,0
Ookami to Koushinryou: Boku to Horo no Ichinen,DS,2008,Adventure,ASCII Media Works,0,0,40000,0
NBA Courtside 2 featuring Kobe Bryant,N64,1999,Sports,Nintendo,200000,50000,0,0
Shin Megami Tensei x Fire Emblem,WiiU,2015,Role-Playing,Nintendo,100000,40000,60000,10000
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,100000,30000,0,10000
Driver: San Francisco,PC,2011,Racing,Ubisoft,50000,100000,0,30000
Jupiter Strike,PS,1994,Shooter,Acclaim Entertainment,60000,40000,0,10000
Crash 'N' Burn,XB,2004,Racing,Eidos Interactive,70000,20000,0,0
Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,420000,30000
Crysis 3,PS3,2013,Shooter,Electronic Arts,260000,430000,30000,180000
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,THQ,1080000,450000,0,140000
Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,390000,20000,10000,40000
Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,Take-Two Interactive,80000,10000,0,10000
Colony Wars III: Red Sun,PS,2000,Simulation,Psygnosis,70000,50000,0,10000
Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer,0,0,540000,0
Snowboarding,PS,2000,Sports,Midas Interactive Entertainment,160000,110000,0,20000
Ragnarok DS,DS,2008,Role-Playing,GungHo,100000,0,110000,10000
Initial D: Street Stage,PSP,2006,Racing,Sega,0,0,100000,0
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,480000,250000,360000,100000
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1130000,2070000,0,220000
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Take-Two Interactive,850000,660000,0,220000
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,790000,420000,0,110000
NHL 2K9,PS2,2008,Sports,Take-Two Interactive,70000,50000,0,20000
Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,Konami Digital Entertainment,0,0,450000,0
Goosebumps HorrorLand,DS,2008,Adventure,Scholastic Inc.,310000,0,0,20000
Tail Concerto,PS,1998,Adventure,Namco Bandai Games,20000,10000,0,0
Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games,390000,0,0,20000
Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,120000,20000,0,140000
Still Life 2,PC,2009,Adventure,Rondomedia,0,10000,0,0
Way of the Samurai 2 Portable,PSP,2009,Action,Spike,0,0,40000,0
Nintendogs,DS,2005,Simulation,Nintendo,9070000,11000000,1930000,2750000
Pro Yaky? Spirits 2011,PS3,2011,Sports,Konami Digital Entertainment,0,0,180000,0
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,340000,100000,0,20000
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2070000,260000,0,80000
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0,0,130000,10000
Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,Spike,0,0,190000,0
NBA 08,PS2,2007,Sports,Sony Computer Entertainment,60000,50000,0,20000
Petz Dogz 2,DS,2007,Simulation,Ubisoft,470000,520000,0,120000
Final Fantasy XI,PS2,,Role-Playing,Unknown,80000,60000,150000,20000
The Saboteur,PS3,2009,Action,Electronic Arts,200000,220000,0,80000
Guitar Hero: Metallica,Wii,2009,Misc,Activision,410000,430000,0,100000
Pimp My Ride: Street Racing,DS,2009,Racing,Activision,30000,0,0,0
Discovery Kids: Parrot Pals,DS,2009,Simulation,505 Games,70000,0,0,0
Tony Hawk's Underground 2,XB,2004,Sports,Activision,480000,240000,0,30000
Ecco the Dolphin,GEN,1992,Adventure,Sega,0,0,120000,0
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai Games,0,0,490000,0
Rec Room Games,Wii,2009,Sports,Destineer,350000,0,0,20000
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,THQ,250000,90000,0,10000
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,20000,10000,40000,10000
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Shooter,Sony Computer Entertainment,170000,130000,60000,80000
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,140000,20000,150000,20000
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,620000,400000,0,100000
Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku,PS2,2008,Adventure,Russel,0,0,10000,0
Jurassic: The Hunted,X360,2009,Shooter,Activision,120000,0,0,10000
Doki Oki,PS,1995,Adventure,Banpresto,0,0,20000,0
Covert Ops: Nuclear Dawn,PS,2000,Action,Sony Computer Entertainment,130000,90000,0,20000
Jillian Michaels' Fitness Adventure,X360,2011,Misc,505 Games,170000,20000,0,10000
Grey's Anatomy: The Video Game,PC,2009,Adventure,Ubisoft,0,20000,0,0
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1560000,1400000,70000,500000
Kamen Rider: Dragon Knight,Wii,2009,Fighting,D3Publisher,60000,0,0,0
Crackdown,X360,2007,Shooter,Microsoft Game Studios,1000000,540000,30000,180000
Summon Night 3,PS2,2003,Role-Playing,Banpresto,0,0,240000,0
Exstetra,PSV,2013,Role-Playing,FuRyu,0,0,30000,0
Ultimate NES Remix,3DS,2014,Action,Unknown,150000,90000,0,20000
Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,Crave Entertainment,90000,0,0,10000
Spot Goes to Hollywood,PS,1996,Platform,Virgin Interactive,40000,30000,0,0
Pro Yaky? Spirits 2013,PSV,2013,Sports,Konami Digital Entertainment,0,0,60000,0
Front Mission Evolved,PS3,2010,Shooter,Square Enix,90000,70000,110000,30000
Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,170000,60000,90000,10000
Ben 10 Omniverse 2,X360,2013,Action,Namco Bandai Games,0,10000,0,0
Motor Toon Grand Prix (Japan),PS,1994,Racing,Sony Computer Entertainment,0,0,60000,0
Style Savvy,DS,2008,Simulation,Nintendo,630000,840000,960000,190000
Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0,0,560000,0
Madden NFL 17,PS3,2016,Sports,Electronic Arts,50000,10000,0,10000
MapleStory DS,DS,2010,Role-Playing,Nexon,0,0,30000,0
Spider-Man: Edge of Time,3DS,2011,Action,Activision,80000,30000,0,10000
"Go, Diego, Go! Safari Rescue",DS,2007,Adventure,Take-Two Interactive,150000,10000,0,10000
N2O: Nitrous Oxide,PS,1998,Racing,Gremlin Interactive Ltd,90000,60000,0,10000
Backyard Baseball '09,DS,2008,Sports,Atari,120000,0,0,10000
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,50000,50000,340000,10000
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,90000,0
Triple Play 98,PS,1997,Sports,Electronic Arts,610000,420000,0,70000
Mesaze!! Tsuri Master: Sekai ni Challenge! Hen,Wii,2008,Sports,Hudson Soft,0,0,20000,0
Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,80000,60000,0,10000
Crash of the Titans,PSP,2007,Action,Vivendi Games,250000,250000,0,150000
NBA Live 09,X360,2008,Sports,Electronic Arts,500000,140000,0,70000
Disney Tangled,DS,2010,Action,Disney Interactive Studios,580000,370000,0,90000
Jet Moto 3,PS,1999,Racing,Sony Computer Entertainment,410000,280000,0,50000
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,520000,30000,0,40000
The Hardy Boys: Treasure on the Tracks,DS,2009,Adventure,Sega,110000,0,0,10000
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2320000,1300000,1270000,310000
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,340000,260000,0,90000
Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,60000,40000,0,10000
